"filename", "language", "Dart", "comment", "blank", "total"
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\event_qr_view.dart", "Dart", 102, 1, 9, 112
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\root.dart", "Dart", 128, 0, 6, 134
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\scan_qr_view.dart", "Dart", 160, 3, 22, 185
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\search_event_view.dart", "Dart", 62, 0, 3, 65
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\send_invite_view.dart", "Dart", 83, 0, 4, 87
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\attendace_counter.dart", "Dart", 38, 0, 3, 41
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\attendee_card.dart", "Dart", 102, 4, 6, 112
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\attendees_list.dart", "Dart", 35, 1, 5, 41
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\circle_button.dart", "Dart", 23, 0, 3, 26
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\custom_app_bar.dart", "Dart", 38, 0, 3, 41
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\custom_search_bar.dart", "Dart", 36, 0, 3, 39
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\draggable_content.dart", "Dart", 37, 0, 3, 40
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_action.dart", "Dart", 38, 0, 6, 44
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_attendance.dart", "Dart", 79, 1, 4, 84
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_badge.dart", "Dart", 26, 0, 3, 29
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_card.dart", "Dart", 117, 0, 3, 120
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_card_skelton.dart", "Dart", 88, 5, 10, 103
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_content.dart", "Dart", 124, 0, 4, 128
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_date_time_field.dart", "Dart", 29, 0, 4, 33
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_image_pic.dart", "Dart", 56, 0, 5, 61
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_list.dart", "Dart", 52, 0, 7, 59
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_location_card.dart", "Dart", 74, 2, 9, 85
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_location_section.dart", "Dart", 54, 0, 4, 58
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_max_attendance.dart", "Dart", 50, 0, 4, 54
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_price_field.dart", "Dart", 30, 0, 5, 35
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_qr_code.dart", "Dart", 15, 0, 3, 18
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\event_result_count.dart", "Dart", 22, 0, 3, 25
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\info_card.dart", "Dart", 47, 0, 4, 51
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\invite_card.dart", "Dart", 102, 4, 6, 112
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\invites_list.dart", "Dart", 35, 1, 5, 41
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\managers_card.dart", "Dart", 99, 4, 6, 109
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\managers_list.dart", "Dart", 35, 1, 5, 41
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\no_events_body.dart", "Dart", 23, 0, 3, 26
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\notification_icon.dart", "Dart", 53, 0, 4, 57
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\pagination_loader.dart", "Dart", 21, 0, 4, 25
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\permission_selector.dart", "Dart", 49, 0, 6, 55
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\role_selector.dart", "Dart", 30, 0, 3, 33
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\search_and_filter_header.dart", "Dart", 122, 0, 3, 125
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\toggle_icon.dart", "Dart", 35, 0, 4, 39
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\toggle_price.dart", "Dart", 74, 0, 4, 78
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\top_actions.dart", "Dart", 29, 0, 4, 33
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\user_card.dart", "Dart", 92, 4, 7, 103
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\user_search_list.dart", "Dart", 43, 0, 7, 50
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\widgets\visibility_toggle.dart", "Dart", 74, 0, 7, 81
"e:\flutter projects\eventsmanager\lib\features\notifications\data\models\notification_model.dart", "Dart", 70, 0, 9, 79
"e:\flutter projects\eventsmanager\lib\features\notifications\data\repo\notification_repository.dart", "Dart", 74, 1, 15, 90
"e:\flutter projects\eventsmanager\lib\features\notifications\presentation\manager\notification_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\notifications\presentation\manager\notifications_controller.dart", "Dart", 102, 33, 32, 167
"e:\flutter projects\eventsmanager\lib\features\notifications\presentation\view\notifications_view.dart", "Dart", 67, 0, 3, 70
"e:\flutter projects\eventsmanager\lib\features\notifications\presentation\view\widgets\notification_card.dart", "Dart", 192, 12, 14, 218
"e:\flutter projects\eventsmanager\lib\features\notifications\presentation\view\widgets\notification_card_skeleton.dart", "Dart", 91, 5, 5, 101
"e:\flutter projects\eventsmanager\lib\features\notifications\presentation\view\widgets\notification_icon.dart", "Dart", 29, 0, 3, 32
